,simbad_id,source_id,P_orb,P_orb_err,ecc,ecc_err,K1,K1_err,K2,K2_err,orb_class,M2_min (M1=1.0Msun),M2_min (M1=1.1Msun),M2_min (M1=1.2Msun),M2_min (M1=1.3Msun),M2_min (M1=1.4Msun),M2_min (M1=1.5Msun),updated_class
54,ASAS J063954-2840.8,2918703613650536064,22.25304507202207,0.0072902455,0.0459657919965734,0.046606615,32.19198958099514,0.89398193,,,SB1,0.57506174,0.60666376,0.6372215,0.66685414,0.6956592,0.7237177,SSG
55,V* UX Cnc,584183485754518016,42.64663654440935,0.021059686,0.0356889083146555,0.016761802,29.38341393586556,0.50573623,,,SB1,0.6812497,0.71760285,0.7527465,0.7868186,0.8199323,0.8521814,RS
56,TYC 3796-667-1,936457665445032576,27.840025342170865,0.004532504,0.0286360072782406,0.009301829,25.00386607649517,0.2393537,,,SB1,0.45727527,0.48326552,0.50840604,0.53279364,0.55650747,0.5796133,RS
57,V* IT Com,1441340794896375040,59.09016547357474,0.018808745,0.6036527439346656,0.0061597037,9.817597899616944,0.062281813,,,SB1,0.15787323,0.16770525,0.1772307,0.18648387,0.19549294,0.20428133,SSG
58,ROTSE1 J190253.93+413931.1,2103961443020414080,14.432042699832731,0.0029635786,0.0445107009205917,0.033055373,42.46383948733828,1.0173769,,,SB1,0.6875408,0.7241669,0.759574,0.7939011,0.8272622,0.85975206,SSG
59,HD 126996,6102562629657918720,53.4099552053583,0.012959837,0.0033042532440154,0.010918038,24.539526821795494,0.26599705,,,SB1,0.5916545,0.6240174,0.6553097,0.6856533,0.71514845,0.7438782,RS
60,UCAC4 337-194639,6852177599838326272,32.293788892801516,0.009299656,0.0046867138519556,0.01319554,35.76817227190943,0.46883625,,,SB1,0.78803813,0.82890105,0.86839795,0.9066846,0.9438885,0.9801157,SSG
61,V* DK Dra,1690218825255945216,64.44618698588387,0.016786218,0.0109401654653855,0.0018871861,37.55487842714356,0.12502415,35.95117438067585,0.11479944,SB2,1.0446079,1.1490686,1.2535294,1.3579901,1.462451,1.5669117,RS
62,*  54 Cam,1081565094046074624,11.070120650882863,9.521681e-05,0.0804844350361074,0.0011782917,61.88515599080508,0.15909803,59.535235356315305,0.116256006,SB2,1.0394711,1.1434182,1.2473654,1.3513124,1.4552596,1.5592066,RS
63,BD+06  4654,1736112509320818560,9.20011857886024,0.0004949647,0.0178736421436216,0.011234491,56.14421093402153,0.75631195,58.93599848158294,0.9801765,SB2,0.95263016,1.0478932,1.1431562,1.2384193,1.3336823,1.4289453,RS
